Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2014-03-27,842.3088989257812,850.6545642726643,830.5646569679116,845.0036242424524,5012476
2014-03-28,845.4663696289062,853.8120365119248,836.5978220494449,843.4151062019218,2971162
2014-03-31,857.9542846679688,862.7002720175956,837.3817605204854,846.2301748967826,2683268
2014-04-01,875.4703979492188,878.8086839847582,862.6803938021727,862.7206531566619,2755932
2014-04-02,873.6805419921875,885.6460137952799,869.1759134226721,880.8196050007552,3763016
2014-04-03,871.3680419921875,877.6021544550903,863.766486072909,873.9220563753796,1581194
2014-04-04,860.2470092773438,879.6129337680763,856.6874937933254,873.5799232484051,1694656
2014-04-07,866.2599487304688,871.1466483046023,852.9470653389591,856.727811103193,2594986
2014-04-09,860.8702392578125,869.5578126486386,846.6323754048955,865.5358061146485,3350500
2014-04-10,855.1390991210938,864.1886161419843,850.7350204763025,860.8704599009911,2152886
2014-04-11,870.4024658203125,874.7461542848887,844.6213648815217,851.8609765805061,2340742
2014-04-15,906.0576782226562,908.1692320172046,874.4045009792757,877.1997763638278,3597244
2014-04-16,883.353515625,910.5824864148634,878.4868473345006,910.5824864148634,3475910
2014-04-17,894.0518798828125,895.7009419991086,861.7954039901629,892.8855371522322,7681438
2014-04-21,893.5894775390625,902.0959837550425,889.386499522641,892.885626257103,1842594
2014-04-22,893.307861328125,904.9112923076611,892.8452716189407,898.4962109468637,1486274
2014-04-23,890.37158203125,902.4978908953459,885.2837836970454,897.470383373995,1938992
2014-04-24,890.37158203125,890.37158203125,890.37158203125,890.37158203125,0
2014-04-25,886.952880859375,898.9183488133787,882.1063439485479,895.7007439854112,3160448
2014-04-28,881.3626708984375,893.9716057538758,876.8379123679716,886.9532221608843,2550766
2014-04-29,882.5289916992188,887.3956600296425,875.5507694408374,879.2108355267139,1846180
2014-04-30,880.4978637695312,887.0940149969555,877.1998372525904,878.8488996078321,2397378
2014-05-02,888.2401733398438,892.8453520119899,877.3003332357374,877.3003332357374,1917778
2014-05-05,890.3515625,896.5052521060535,886.510526639846,889.1852198881712,1314478
2014-05-06,884.3992919921875,893.5293286259882,880.8197441813833,890.3518834180601,961232
2014-05-07,870.9857177734375,886.048113869832,860.7497299232699,881.2418352966697,4716182
2014-05-08,869.578125,877.5215895733843,863.7863754582189,870.8048568892813,2606900
2014-05-09,868.7132568359375,878.6878538826769,865.5359105680488,865.5359105680488,1799440
2014-05-12,868.4921875,871.4483039558346,853.9324424873664,865.9381735815061,2886064
2014-05-13,889.2456665039062,900.5274163926418,871.0863431863551,871.0863431863551,2547484
2014-05-14,891.3170166015625,900.0044928644528,885.284006060584,890.6331968520934,1389228
2014-05-15,882.0863037109375,894.896433508454,873.2378895369213,891.3168870518268,2520196
2014-05-16,869.0552978515625,906.3191592317619,844.7221517124814,884.8618074616086,5241798
2014-05-19,819.1621704101562,868.7535378335266,804.2003235639521,864.731530713927,6516606
2014-05-20,831.8317260742188,868.7537814234265,815.6632725586616,815.6632725586616,4702114
2014-05-21,837.723876953125,840.1973723045603,826.8443269549916,829.0161717419327,4116946
2014-05-22,849.427734375,854.2742723668226,834.6066977465233,843.314303476994,4216842
2014-05-23,855.8429565429688,864.329431842667,843.0127915971289,852.2634090621737,3094780
2014-05-26,866.34033203125,872.6147024041542,858.1354767991751,864.329328475003,2650850
2014-05-27,857.2708129882812,878.6478428650819,851.8612322615902,868.813955467564,1795094
2014-05-28,864.9528198242188,868.2508462488532,853.6509397687634,860.709582384503,1887488
2014-05-29,868.7333374023438,876.7974806590366,858.7788705921092,862.7204568869879,2820710
2014-05-30,861.2525024414062,871.568911049747,856.7477760768193,868.2708849705906,2585648
2014-06-02,856.6270751953125,867.8484338107669,851.0766867063771,862.3181749926008,1095158
2014-06-03,856.1243286132812,859.9049753829278,846.712774643869,856.6270794174106,2484628
2014-06-04,840.2979736328125,858.6583998316825,835.3710141128881,856.6876553011323,2141062
2014-06-05,846.2905883789062,851.2175470980042,831.7510719260836,837.8243419511197,4348470
2014-06-06,846.3312377929688,855.8939783350303,834.860033538368,852.7875573474239,3361586
2014-06-09,858.3303833007812,860.0358169349599,844.6055237132751,847.4479461488487,2666196
2014-06-10,876.3391723632812,877.4761612582375,858.8177065622207,858.8177065622207,2628068
2014-06-11,896.1548461914062,899.0175914112765,868.2381978582873,879.1206347811263,3544562
2014-06-12,908.4990234375,915.2598875666644,886.7544752256015,913.2295861301811,2734338
2014-06-13,898.834716796875,909.1689306838286,887.2619992781215,908.7628704200127,1904022
2014-06-16,921.6556396484375,924.5792548495618,897.3935295178089,897.3935295178089,2439906
2014-06-17,925.7565307617188,932.7204246216589,922.1628577778787,927.8070557823463,1918144
2014-06-18,904.3167724609375,931.096434201853,901.9819253189137,931.096434201853,1948824
